Ait. Br.    Aitareya Brāhmaṇa, (Bombay).
Ak.         Amarkosa, (Bombay).
Ā. L.       Ānandalaharī.
Amaru.      Amaruśataka, (Nirṇaya Sāgar, 1916).
Āpast.      Āpastamba.
A. Rām.     Adhyātma Rāmāyaṇa.
A. R.       Anargharāghava (Published in the Kāvyamālā).
Āry. S.     Āryavidyāsudhākara, (Bombay).
Āryā. S.    Āryāsaptasatī (Published in the Kāvyamālā).
Aśvad.      Aśvadhātī (Published in the Subhāṣitaratnākara).
Āśval      Āśvalāyana’s Sūtras.
Av.         Atharava–Veda. (ed. by Pandit Satavalekar).
Baudhāy.    Baudhāyana.
Bg.         Bhagavadgītā (Tilak Edition).
Bh.         Bhartṛihari’s three śatakas...
B. P.       Bhaviṣya Purāṇa.
Bhav.P.     Bhaviṣyottara Purāṇa.
Bhāg.       Bhāgawata, (V. Ramaswamy Sastrulu & Sons, Madras).
Bhār. Ch.   Bhāratacampū, (Bombay).
Bhāsā P.	Bhāsāparichchheda.
Bhāva P.	Bhāvaprakāśa.
Bij.	Bījagaṇita.
Bil. Ch.	Bilhanacharitam.
Bk.	Bhaṭṭikāvya, (Nirṇaya Sāgara, 1928).
Bm.	Bhāratamañjarī.
B. R.	Bālarāmāyaṇa, (Benaras).
B. and R.	Bothlingk and Roth.
Brav. P.	Brahmavaivarta Purāṇa.
Bri. S.	Varāhamihira’s Bṛhatsaṃhitā, (लष्मीवेदेश्वर प्रेस, कल्याण‑मुंबई १९२१).
Bri. Kath.	Bṛihatkathā.
Br. Sūt.	Brahmasūtrās.
Bri. Ar. Up.	Bṛhadāraṇyakopaniṣad, (साई उपनिवतसंपंह—ह. र. भागवत, १९१४).
Bri. Up.	Bṛhadāraṇyakopaniṣad, (साई उपनिवतसंपंह—ह. र. भागवत, १९१४).
Bu. Ch.	Buddhacharitam, (A. C. Bhat & Co. 1911).
Bv.	Bhāminivilāsa, (D. V. Sādhale & Co., Bombay).
Chaṇḍ. K.	Chaṇḍakauśika.
Chandr.	Chandrāloka.
Chāṇ.	Chāṇakyāṣṭaka.
Chāt.	Chāṭakāṣṭaka (In two parts.)
Ch. P.	Chaurapañchāśikā.
Chaṇḍ. M.	Chhandomañjarī.
Ch. Up.	Chhāndogyopaniṣad, (साई उपनिवतसंपंह—ह. र. भागवत, १९१४).
Dāy. Bh., Dāy.	Dāyabhāga.
D. Bhāg.	Devībhāgavata.
Dhan. V.	Dhanan̄jayavijaya.
